,Train-RMSE-Mean,Train-RMSE-Std,Train-CI-LB,Train-CI-UB,TrainRMSE-Min,Test-RMSE-Mean,Test-RMSE-Std,Test-CI-LB,Test-CI-UB,Test-RMSE-Min,Step1-RMSE-Mean,Step1-RMSE-Std,Step1-CI-LB,Step1-CI-UB,Step1-RMSE-Min,Step2-RMSE-Mean,Step2-RMSE-Std,Step2-CI-LB,Step2-CI-UB,Step2-RMSE-Min,Step3-RMSE-Mean,Step3-RMSE-Std,Step3-CI-LB,Step3-CI-UB,Step3-RMSE-Min
Brazil,0.4149,0.7036,0.1631,0.6667,0.0107,7.1879,0.8899,6.8695,7.5063,4.2009,4.9491,0.4796,4.7775,5.1207,2.753,10.4878,2.2505,9.6825,11.2932,3.6832,4.0682,1.0201,3.7032,4.4332,3.2379
Canada,0.4195,0.5428,0.2253,0.6138,0.0009,2.8584,0.3972,2.7162,3.0005,1.8077,1.5599,0.2774,1.4606,1.6591,1.0427,2.7623,0.7247,2.503,3.0216,0.928,3.7352,0.6057,3.5184,3.9519,2.7755
China,0.9324,0.7116,0.6777,1.187,0.2181,3.6637,0.4243,3.5119,3.8156,2.859,2.4792,0.4267,2.3265,2.6319,1.5363,3.724,0.4987,3.5456,3.9025,2.5097,4.4318,0.85,4.1276,4.7359,3.6058
France,0.7789,0.4178,0.6294,0.9285,0.2762,4.8398,2.0331,4.1123,5.5673,2.3332,2.8379,2.0479,2.1051,3.5707,0.6602,3.3005,2.3033,2.4762,4.1247,0.5609,6.9879,2.3225,6.1568,7.819,3.9277
Germany,0.4994,0.5832,0.2907,0.7081,0.0439,2.5865,0.3665,2.4553,2.7176,1.7132,1.4322,0.398,1.2898,1.5747,0.7087,1.8249,0.5024,1.6451,2.0046,0.778,3.808,0.4233,3.6565,3.9595,2.6551
India,1.4665,0.6768,1.2243,1.7087,0.6079,4.3088,0.4721,4.1399,4.4778,3.6568,3.0825,1.5183,2.5392,3.6258,0.9744,1.9795,0.4296,1.8258,2.1333,1.4457,6.3536,0.2965,6.2475,6.4597,5.988
Indonesia,2.4005,1.1994,1.9713,2.8297,0.5133,1.9764,0.1808,1.9117,2.0411,1.5133,1.1262,0.4089,0.9799,1.2725,0.3459,0.7063,0.2715,0.6092,0.8035,0.2069,3.1186,0.288,3.0155,3.2216,2.464
Italy,0.2989,0.4639,0.1328,0.4649,0.014,4.0477,0.4166,3.8987,4.1968,2.6271,3.7579,0.6103,3.5395,3.9763,1.4502,4.1676,0.8332,3.8695,4.4658,1.2434,4.1347,0.1415,4.084,4.1853,3.6157
Japan,0.4713,0.5904,0.26,0.6825,0.0594,6.3877,2.0737,5.6457,7.1298,1.5222,3.3246,0.8203,3.031,3.6181,0.6364,3.4799,0.7031,3.2283,3.7315,0.751,9.8682,3.6879,8.5485,11.1879,2.4458
Mexico,0.6743,0.8866,0.357,0.9915,0.029,6.5569,1.7054,5.9466,7.1671,2.5186,4.4425,1.5086,3.9027,4.9823,1.1318,6.3319,2.3687,5.4843,7.1795,1.1342,8.1868,1.7216,7.5707,8.8028,4.0574
Turkey,0.5728,1.0782,0.187,0.9587,0.0004,5.8953,0.7349,5.6323,6.1583,2.4666,4.781,0.4819,4.6085,4.9534,2.7031,7.6694,1.192,7.2429,8.096,2.3067,4.7186,0.5355,4.527,4.9102,2.3717
United Kingdom,0.6271,0.591,0.4156,0.8386,0.0823,3.3998,0.5085,3.2178,3.5817,2.6386,1.0019,0.2671,0.9064,1.0975,0.6069,2.794,1.3179,2.3224,3.2656,0.6535,4.9663,0.4097,4.8197,5.1129,4.2481
United States,0.8582,0.3253,0.7418,0.9746,0.3202,1.9853,0.2331,1.9019,2.0688,1.5392,1.0525,0.2541,0.9616,1.1434,0.6741,1.5511,0.7069,1.2982,1.8041,0.7101,2.8028,0.2325,2.7196,2.886,2.074
